booking_id,adults,children,babies,total_guests,is_family,country,customer_type
0,2,0.0,0,2.0,0,PRT,Transient
1,2,0.0,0,2.0,0,PRT,Transient
2,1,0.0,0,1.0,0,GBR,Transient
3,1,0.0,0,1.0,0,GBR,Transient
4,2,0.0,0,2.0,0,GBR,Transient
5,2,0.0,0,2.0,0,PRT,Transient
6,2,0.0,0,2.0,0,PRT,Transient
7,2,0.0,0,2.0,0,PRT,Transient
8,2,0.0,0,2.0,0,PRT,Transient
9,2,0.0,0,2.0,0,PRT,Transient
10,2,0.0,0,2.0,0,PRT,Transient
11,2,0.0,0,2.0,0,USA,Transient
12,2,1.0,0,3.0,1,ESP,Transient
13,2,0.0,0,2.0,0,PRT,Transient
14,2,0.0,0,2.0,0,IRL,Transient
15,2,0.0,0,2.0,0,PRT,Contract
16,2,0.0,0,2.0,0,IRL,Transient
17,2,0.0,0,2.0,0,FRA,Transient
18,2,0.0,0,2.0,0,GBR,Transient
19,1,0.0,0,1.0,0,GBR,Transient
20,2,0.0,0,2.0,0,PRT,Transient
21,2,0.0,0,2.0,0,PRT,Transient
22,2,0.0,0,2.0,0,GBR,Contract
23,2,0.0,0,2.0,0,PRT,Transient
24,2,0.0,0,2.0,0,IRL,Contract
25,2,0.0,0,2.0,0,PRT,Transient
26,2,0.0,0,2.0,0,PRT,Transient
27,2,0.0,0,2.0,0,PRT,Transient
28,1,0.0,0,1.0,0,Unknown,Transient
29,2,0.0,0,2.0,0,GBR,Transient
30,2,0.0,0,2.0,0,PRT,Transient
31,2,0.0,0,2.0,0,IRL,Transient
32,3,0.0,0,3.0,1,PRT,Transient
33,3,0.0,0,3.0,1,PRT,Transient
34,2,0.0,0,2.0,0,ESP,Transient
35,3,0.0,0,3.0,1,PRT,Transient
36,3,0.0,0,3.0,1,PRT,Transient
37,2,0.0,0,2.0,0,ROU,Transient
38,2,0.0,0,2.0,0,PRT,Transient
39,2,0.0,0,2.0,0,IRL,Contract
40,2,0.0,0,2.0,0,ESP,Transient
41,2,0.0,0,2.0,0,PRT,Transient
42,2,2.0,0,4.0,1,PRT,Transient
43,2,0.0,0,2.0,0,ESP,Transient
44,2,0.0,0,2.0,0,NOR,Transient-Party
45,2,0.0,0,2.0,0,GBR,Contract
46,2,0.0,0,2.0,0,IRL,Transient
47,2,0.0,0,2.0,0,NOR,Transient-Party
48,2,0.0,0,2.0,0,IRL,Contract
49,2,0.0,0,2.0,0,OMN,Contract
50,2,0.0,0,2.0,0,ESP,Transient
51,2,0.0,0,2.0,0,ARG,Transient
52,2,2.0,0,4.0,1,ESP,Transient
53,2,0.0,0,2.0,0,PRT,Transient
54,2,0.0,0,2.0,0,PRT,Transient
55,2,0.0,0,2.0,0,PRT,Transient
56,2,0.0,0,2.0,0,USA,Transient
57,2,0.0,0,2.0,0,PRT,Transient
58,2,0.0,0,2.0,0,IRL,Transient
59,2,0.0,0,2.0,0,ESP,Transient
60,2,0.0,0,2.0,0,IRL,Contract
61,2,0.0,0,2.0,0,PRT,Transient
62,2,2.0,0,4.0,1,USA,Transient
63,2,0.0,0,2.0,0,ESP,Transient
64,2,0.0,0,2.0,0,POL,Transient
65,3,0.0,0,3.0,1,PRT,Transient
66,2,0.0,0,2.0,0,PRT,Transient
67,2,0.0,0,2.0,0,PRT,Transient
68,2,0.0,0,2.0,0,PRT,Transient
69,2,0.0,0,2.0,0,PRT,Transient
70,2,0.0,0,2.0,0,ESP,Transient
71,3,0.0,0,3.0,1,PRT,Transient
72,2,0.0,0,2.0,0,ESP,Transient
73,2,0.0,0,2.0,0,PRT,Transient
74,1,0.0,0,1.0,0,PRT,Transient
75,2,0.0,0,2.0,0,DEU,Transient
76,3,0.0,0,3.0,1,PRT,Transient
77,2,0.0,0,2.0,0,FRA,Contract
78,2,0.0,0,2.0,0,PRT,Contract
79,2,0.0,0,2.0,0,GBR,Contract
80,2,0.0,0,2.0,0,PRT,Transient
81,2,0.0,0,2.0,0,GBR,Contract
82,2,0.0,0,2.0,0,GBR,Contract
83,2,0.0,0,2.0,0,GBR,Transient
84,2,1.0,0,3.0,1,PRT,Transient
85,2,0.0,0,2.0,0,GBR,Transient
86,2,0.0,0,2.0,0,PRT,Transient
87,2,0.0,0,2.0,0,ESP,Transient
88,2,0.0,0,2.0,0,PRT,Transient
89,2,0.0,0,2.0,0,USA,Transient
90,2,0.0,0,2.0,0,BEL,Transient
91,2,0.0,0,2.0,0,PRT,Transient
92,2,0.0,0,2.0,0,PRT,Transient
93,2,0.0,0,2.0,0,PRT,Transient
94,3,0.0,0,3.0,1,ESP,Transient
95,2,1.0,0,3.0,1,PRT,Transient
96,2,0.0,0,2.0,0,DEU,Transient
97,2,0.0,0,2.0,0,ESP,Transient
98,2,0.0,0,2.0,0,FRA,Transient
99,1,2.0,0,3.0,1,FRA,Transient
100,2,0.0,0,2.0,0,PRT,Transient
101,2,0.0,0,2.0,0,PRT,Transient
102,2,2.0,0,4.0,1,PRT,Transient
103,3,0.0,0,3.0,1,PRT,Transient
104,2,0.0,0,2.0,0,PRT,Transient
105,2,0.0,0,2.0,0,PRT,Transient
106,2,0.0,1,3.0,1,PRT,Transient
107,2,0.0,0,2.0,0,CHE,Transient
108,2,0.0,1,3.0,1,PRT,Transient
109,2,0.0,0,2.0,0,GBR,Transient
110,3,0.0,0,3.0,1,PRT,Transient
111,2,0.0,0,2.0,0,PRT,Transient
112,2,0.0,0,2.0,0,PRT,Transient
113,2,0.0,0,2.0,0,GBR,Contract
114,2,0.0,0,2.0,0,PRT,Contract
115,2,1.0,0,3.0,1,PRT,Transient
116,2,2.0,0,4.0,1,PRT,Transient
